CD	ID	FD	WD	ED
12	1	1	0	11
21	3	2	0	19
22	5	3	0	19
22	4	2	0	20
23	8	6	0	17
36	25	17	5	7 *
48	2	1	0	47
51	13	9	11	15 *
51	33	27	0	24
52	21	14	9	29
56	29	21	1	34
58	70	50	2	6
63	26	18	16	12 *
79	42	31	17	31
80	89	68	1	11
82	71	51	0	31
84	10	7	49	28
86	77	56	7	23
93	6	4	50	26 *
100	45	31	14	55
103	44	31	53	19
112	30	22	46	44
114	58	40	53	21
116	38	30	70	16
120	46	33	49	38
123	47	33	5	20 *
131	55	39	5	18 *
132	86	66	42	24
133	96	73	50	10
133	85	65	49	19
141	90	69	47	25
149	28	20	92	37
153	91	70	50	33
155	82	60	81	14
156	37	29	71	23 *
156	7	5	117	23 *
161	94	72	59	30
162	78	56	68	30 *
168	20	14	135	19
171	87	67	12	92
178	74	54	107	17
182	12	8	154	20
185	76	56	100	29
187	11	8	155	24
190	75	55	106	29
192	41	31	147	14
197	68	50	118	29
200	69	50	115	35
218	66	48	142	28
226	67	49	122	55
227	56	40	157	30
228	60	42	148	38
230	95	73	109	48
234	40	30	188	16
236	53	37	163	36
237	50	34	171	32
248	92	70	157	21
253	93	71	116	66
257	83	62	172	23
265	84	62	166	37
267	80	58	179	30
271	17	11	175	36 *
280	61	43	214	23
280	73	53	195	32
284	19	13	223	48
296	81	59	177	60
302	65	47	206	49
307	32	25	255	27
309	59	41	224	44
311	35	29	242	40
313	52	36	231	46
354	9	7	306	41
376	14	10	352	14
391	15	10	366	15
401	18	12	379	10
436	22	15	386	35
490	24	16	428	46
500	27	20	470	10
536	34	28	472	36
569	36	29	507	33
651	39	30	547	74
675	43	31	620	24
722	48	33	642	47
750	49	33	689	28
776	51	35	723	18
820	54	38	738	44
833	57	40	780	13
851	63	45	788	18
914	79	57	802	55
932	88	67	847	18


Missions: 90[M: 3, P: 20, E: 67]
Rovers: 8	[M: 3, P: 1, E: 4]
Avg Wait = 192.356, Avg Execution = 29.5667
Auto-promoted = 90%


* beside any mission indicates that the mission has failed once and got reassigned.
