CD	ID	FD	WD	ED
9	11	4	0	5
9	6	2	0	7
11	2	1	0	10
11	1	1	0	10
12	17	4	0	8
13	5	2	0	11
15	7	3	0	12
15	3	1	0	14
15	13	4	5	6
19	9	3	0	16
20	8	3	0	17
20	4	2	0	18
20	27	12	0	8
23	31	15	0	8
25	24	11	1	7 *
31	43	18	2	11
31	54	26	0	5
32	47	18	1	13
35	34	16	1	10 *
39	18	4	7	28
39	64	31	0	8
43	16	4	16	11 *
43	41	18	0	18 *
44	39	17	7	20
44	20	10	5	29
44	14	4	11	29
44	19	5	8	31
44	70	32	3	9
50	82	34	5	11
50	92	38	1	11
50	89	37	6	7
51	97	42	2	7
52	102	44	0	8
53	46	18	1	17 *
53	81	34	10	9
55	104	44	0	11
55	78	34	10	11
57	63	30	1	26
70	100	43	1	26
72	73	33	19	20
76	57	27	5	11 *
77	12	4	47	26
79	37	17	45	17
81	23	11	45	25
84	75	34	1	18 *
84	36	16	14	8 *
88	68	32	6	18 *
90	42	18	46	26
92	10	4	52	36
99	76	34	45	20
101	88	37	47	17
102	84	35	23	44
102	53	26	27	49
103	49	19	53	31
114	96	42	57	15
115	71	33	55	27
116	103	44	46	26
119	98	43	49	27
123	61	30	4	21 *
126	101	44	55	27
131	35	16	100	15
140	60	29	74	37
143	69	32	8	27 *
144	65	31	100	13
145	94	40	62	43
146	29	13	103	30
148	74	34	50	64
152	59	28	81	43
154	83	34	92	28
157	32	15	129	13
162	85	36	87	39
169	30	14	105	50
175	21	10	144	21
177	15	4	141	32
181	50	25	117	39
184	48	18	125	41
192	95	41	61	90
197	25	11	165	21
207	28	13	165	29
210	22	11	159	40
215	33	15	182	18
236	38	17	190	29
238	45	18	197	23
239	44	18	192	29
265	51	25	211	29
267	52	26	213	28
268	55	26	213	29
288	62	30	237	21
293	66	31	238	24
295	58	28	238	29
306	67	31	257	18
322	72	33	260	29
324	79	34	261	29
330	80	34	273	23
351	90	37	293	21
351	86	36	286	29
364	87	37	287	40
372	93	39	312	21
381	99	43	309	29
394	105	45	320	29


Missions: 100[M: 3, P: 28, E: 69]
Rovers: 11	[M: 3, P: 3, E: 5]
Avg Wait = 78.82, Avg Execution = 22.74
Auto-promoted = 76.6667%


* beside any mission indicates that the mission has failed once and got reassigned.
