CD	ID	FD	WD	ED
8	4	3	0	5
8	71	2	0	6
9	42	1	0	8
11	56	1	0	10
11	27	1	0	10
11	1	4	0	7
12	23	4	0	8
14	52	2	0	12
15	16	3	0	12
15	44	3	0	12
18	50	7	1	10
18	69	3	0	15
18	8	9	0	9
22	34	1	0	21
24	32	12	0	12
25	26	9	2	14
25	36	8	0	17
27	41	12	2	13
27	25	16	2	9
30	55	5	20	5
31	17	18	1	12
31	33	16	2	13
32	14	13	2	17
34	22	3	21	10
34	5	5	6	23
37	48	16	1	12 *
37	35	14	1	22
38	53	8	21	9
39	7	25	2	12
39	63	3	19	17
40	47	19	2	19
43	59	10	20	13
43	58	6	20	17
44	65	12	20	12
46	61	14	20	12
47	75	14	20	13
47	66	19	20	8
50	11	11	6	19 *
51	49	7	2	14 *
52	20	12	19	21
54	2	16	22	16
54	3	17	20	17
56	45	3	22	18 *
57	10	19	24	14
59	54	22	23	14
59	60	16	23	20
61	62	16	31	14
66	51	20	29	17
69	21	12	45	12
69	64	17	38	14
69	24	19	21	29
70	73	15	41	14
71	68	18	36	17
71	70	29	21	21
75	57	17	1	10 *
77	74	29	1	14 *
77	19	10	61	6
80	39	9	62	9
85	72	19	35	31
86	67	23	0	26 *
87	13	14	63	10
87	30	8	61	18
87	40	5	63	19
93	15	17	67	9
95	6	18	69	8
101	38	18	69	14
101	37	19	74	8
102	12	2	70	15 *
107	46	21	74	12
113	29	29	72	12


Missions: 70[M: 7, P: 15, E: 48]
Rovers: 14	[M: 4, P: 4, E: 6]
Avg Wait = 21.2857, Avg Execution = 13.8286
Auto-promoted = 82.3529%


* beside any mission indicates that the mission has failed once and got reassigned.
