CD	ID	FD	WD	ED
15	2	1	0	14
18	7	2	0	16
18	1	1	0	17
20	3	1	0	19
22	6	2	0	20
26	4	1	0	25
35	31	13	5	17
37	43	19	3	15
38	8	3	0	35
40	49	23	3	14
41	22	9	10	22
46	72	36	1	9
47	52	25	2	20
48	12	5	33	10
50	65	30	5	15
50	77	37	4	9
53	24	10	28	15
53	11	5	15	33
57	81	40	0	17
58	60	28	0	30
59	16	7	46	6
62	14	6	32	14 *
62	13	6	40	16
71	90	45	2	24
71	17	7	38	9 *
73	105	56	1	16
73	38	17	1	55
77	112	59	0	18
82	10	4	48	17 *
82	114	60	2	20
82	106	57	1	24
84	25	10	61	13
90	33	15	69	6
90	53	25	57	8
91	26	10	63	18
92	21	9	59	24
94	23	10	61	23
94	42	18	49	27
97	34	15	75	7
104	40	17	77	10
106	32	14	68	24
112	44	20	81	11
116	66	31	59	26
120	45	20	84	16
123	20	8	59	29 *
125	46	21	85	19
126	75	37	79	10
128	50	24	88	16
130	30	12	65	53
131	41	18	79	34
131	5	1	57	49 *
136	92	46	80	10
137	86	43	80	14
139	29	12	61	66
140	54	26	99	15
142	56	27	103	12
142	55	27	101	14
143	110	58	78	7
148	57	27	107	14
148	47	22	89	37
150	116	61	76	13
151	63	29	113	9
155	28	11	81	12 *
156	69	34	117	5
157	68	33	115	9
160	64	29	114	17
161	67	32	116	13
163	35	16	86	13 *
166	74	36	120	10
167	71	36	120	11
168	78	38	122	8
169	62	28	114	27
171	79	38	123	10
172	73	36	121	15
176	87	44	122	10
176	91	45	123	8
179	96	50	120	9
181	84	42	121	18
181	61	28	111	42
186	107	57	122	7
187	99	51	121	15
192	117	61	120	11
192	97	50	121	21
194	120	66	120	8
195	59	28	107	60
197	100	52	124	21
201	89	44	125	32
202	15	7	127	15 *
203	119	64	128	11
203	115	60	121	22
206	104	56	120	30
209	18	7	137	7 *
210	108	57	140	13
211	111	59	135	17
212	118	63	129	20
216	113	60	135	21
216	95	50	81	85
225	98	50	159	16
225	101	53	151	21
227	88	44	166	17
230	85	42	169	19
236	36	16	117	11 *
239	51	25	93	14 *
240	94	49	160	31
246	103	55	148	43
250	39	17	146	6 *
252	82	41	175	36
256	83	41	174	41
270	102	53	150	67
279	76	37	179	63


Missions: 110[M: 40, P: 15, E: 55]
Rovers: 10	[M: 6, P: 3, E: 1]
Avg Wait = 80.2545, Avg Execution = 20.5727
Auto-promoted = 41.8605%


* beside any mission indicates that the mission has failed once and got reassigned.
